site,camera,date,prcp,vpd,tmax,tmin,dtgw,et,fp,is_test_mask,fp_pred,fp_final,source
St.David,1.0754327901249365,2020-04-21,-0.2734546534706098,0.32155740380887343,0.2339543316569069,-0.3986906090422685,-0.42736618231999,-0.39080422236871754,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-22,-0.2734546534706098,0.008979047689585946,-0.06035232186090064,-0.37473464544620916,-0.42736618231999,-0.4127212681112852,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-23,-0.2734546534706098,0.580905640118533,0.4696659953340649,-0.10057195095797535,-0.42736618231999,-0.3908925211327549,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-24,-0.2734546534706098,1.0264136182507666,0.822567638692522,0.02320052762166413,-0.42736618231999,-0.3740726710912024,1.0,True,,1,observed
St.David,1.0754327901249365,2020-04-25,-0.2734546534706098,0.9973765072098155,0.8065871869177988,0.1882304990611835,-0.42736618231999,-0.36669032995184014,1.0,True,,1,observed
St.David,1.0754327901249365,2020-04-26,-0.2734546534706098,1.3824464022540393,1.0835816843463242,0.3173265251066138,-0.42736618231999,-0.3564050854709123,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-27,-0.2734546534706098,1.1153596987295864,0.9077967148243758,0.48235649654613316,-0.42736618231999,-0.35079938104570196,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-28,-0.2734546534706098,1.1957972586756949,0.946416139946622,0.055141812416409836,-0.42736618231999,-0.3213497689929159,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-29,-0.2734546534706098,1.529990039304518,1.192781438140262,0.1868996121947358,-0.42736618231999,-0.3125072745254234,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-30,-0.2734546534706098,1.5578348048011401,1.1994399597130625,0.5329301974711473,-0.42736618231999,-0.25554290995276624,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-01,-0.2734546534706098,1.347954103492286,1.0755914584589628,0.7059454901093529,-0.42736618231999,-0.2493231356523449,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-02,-0.2734546534706098,1.2743089652904835,1.0116696513600718,0.5249448762724608,-0.42736618231999,-0.23209054607788812,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-03,-0.2734546534706098,0.989373454272854,0.7946018480867574,0.22283355758882464,-0.42736618231999,-0.2372673709718144,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-04,-0.2734546534706098,1.124049104388022,0.8931479673642135,0.28804701404476374,-0.42736618231999,-0.2786845407957659,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-05,-0.2734546534706098,1.6746265077954543,1.2873324444740364,0.3479369230349118,-0.42736618231999,-0.2765312760177596,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-06,-0.2734546534706098,1.825330087395629,1.3872102680660523,0.42645924815532826,-0.42736618231999,-0.24961903981691944,1.0,True,,1,observed
St.David,1.0754327901249365,2020-05-07,-0.2734546534706098,1.637347567095208,1.252708132295471,0.7099381507086963,-0.42736618231999,-0.25745120712770214,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-08,-0.2734546534706098,0.9356147350086277,0.8159091171197204,0.7831369283633216,-0.42736618231999,-0.3690263012227714,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-09,-0.2734546534706098,1.0789264951591986,0.8611870638147682,0.36124579169938914,-0.42736618231999,-0.1661930579332474,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-10,-0.2734546534706098,0.7253896524236265,0.6347973303395312,0.579511237796818,-0.42736618231999,-0.2030707270699765,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-11,-0.2734546534706098,0.8663959855654615,0.6787435727200182,0.6793277527803983,-0.42736618231999,-0.2152489340286971,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-12,-0.2734546534706098,0.7524166790345359,0.5442414369494367,0.37987820782965753,-0.42736618231999,-0.2190272866360913,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-13,-0.2734546534706098,0.6058000564130683,0.43104657021181875,0.03784028315258916,-0.42736618231999,-0.21521263004232027,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-14,-0.2734546534706098,0.4446393165004175,0.26857864383547225,0.07244334168023028,-0.42736618231999,-0.246997235680005,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-15,-0.2734546534706098,0.7463494054758077,0.5535633671513582,0.17359074353025825,-0.42736618231999,-0.20318606130646963,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-16,-0.2734546534706098,0.8975974840740293,0.6933923201801814,0.11103906080721476,-0.42736618231999,-0.2332710434521774,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-17,-0.2734546534706098,1.2169617320898118,0.9344308011155796,0.49832713894350616,-0.42736618231999,-0.2439260898106953,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-18,-0.2734546534706098,1.281361671469209,0.986367269383428,0.48634915714547655,-0.42736618231999,-0.2166180920919302,1.0,True,,1,observed
St.David,1.0754327901249365,2020-05-19,-0.2734546534706098,0.8051644610291058,0.5828608620716833,0.5049815732757447,-0.42736618231999,-0.1878621690410008,1.0,False,,1,observed
St.David,1.0754327901249365,2020-05-20,-0.2734546534706098,0.7190849440582663,0.5469048455785576,-0.09657929035863222,-0.42736618231999,-0.2577895305349197,1.0,True,,1,observed
